district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
05,01,02,06,10613,100.0,4388,41.3,8301,78.2,6225,58.7,2076,19.6,2312,21.8
05,01,02,07,11558,100.0,5929,51.3,8890,76.9,5629,48.7,3261,28.2,2668,23.1
05,01,02,08,7706,100.0,2758,35.8,6079,78.9,4948,64.2,1131,14.7,1627,21.1
05,01,02,09,6059,100.0,1926,31.8,5146,84.9,4133,68.2,1013,16.7,913,15.1
05,01,03,10,3983,100.0,1536,38.6,3056,76.7,2447,61.4,609,15.3,927,23.3
05,01,03,11,5647,100.0,2840,50.3,4289,76.0,2807,49.7,1482,26.2,1358,24.0
05,01,03,12,7426,100.0,4249,57.2,4365,58.8,3177,42.8,1188,16.0,3061,41.2
05,01,03,13,6854,100.0,2935,42.8,5004,73.0,3919,57.2,1085,15.8,1850,27.0
05,01,03,14,12390,100.0,5006,40.4,9513,76.8,7384,59.6,2129,17.2,2877,23.2
05,01,03,39,995,100.0,672,67.5,385,38.7,323,32.5,62,6.2,610,61.3
05,02,04,15,3818,100.0,799,20.9,3587,93.9,3019,79.1,568,14.9,231,6.1
05,02,04,16,1679,100.0,95,5.7,1645,98.0,1584,94.3,61,3.6,34,2.0
05,02,04,17,5929,100.0,1872,31.6,4991,84.2,4057,68.4,934,15.8,938,15.8
05,02,04,18,4398,100.0,1189,27.0,3687,83.8,3209,73.0,478,10.9,711,16.2
05,02,04,19,7164,100.0,2153,30.1,6058,84.6,5011,69.9,1047,14.6,1106,15.4
05,02,04,20,965,100.0,192,19.9,867,89.8,773,80.1,94,9.7,98,10.2
05,02,05,21,3251,100.0,903,27.8,2925,90.0,2348,72.2,577,17.7,326,10.0
05,02,05,22,7577,100.0,3629,47.9,5251,69.3,3948,52.1,1303,17.2,2326,30.7
05,02,05,23,12696,100.0,7439,58.6,8808,69.4,5257,41.4,3551,28.0,3888,30.6
05,02,05,24,6313,100.0,1407,22.3,5654,89.6,4906,77.7,748,11.8,659,10.4
05,02,06,25,7614,100.0,2841,37.3,5952,78.2,4773,62.7,1179,15.5,1662,21.8
05,02,06,26,18203,100.0,6361,34.9,14339,78.8,11842,65.1,2497,13.7,3864,21.2
05,02,06,27,4409,100.0,1999,45.3,3135,71.1,2410,54.7,725,16.4,1274,28.9
05,02,06,28,2013,100.0,500,24.8,1787,88.8,1513,75.2,274,13.6,226,11.2
05,02,06,29,4412,100.0,704,16.0,4093,92.8,3708,84.0,385,8.7,319,7.2
05,03,07,30,4030,100.0,2193,54.4,3288,81.6,1837,45.6,1451,36.0,742,18.4
05,03,07,31,11661,100.0,4992,42.8,9256,79.4,6669,57.2,2587,22.2,2405,20.6
05,03,08,32,12286,100.0,5718,46.5,9009,73.3,6568,53.5,2441,19.9,3277,26.7
05,03,08,33,505,100.0,234,46.3,388,76.8,271,53.7,117,23.2,117,23.2
05,04,09,34,3457,100.0,872,25.2,2956,85.5,2585,74.8,371,10.7,501,14.5
05,04,09,35,459,100.0,117,25.5,388,84.5,342,74.5,46,10.0,71,15.5
05,04,09,36,10041,100.0,1768,17.6,9452,94.1,8273,82.4,1179,11.7,589,5.9
05,04,09,37,2199,100.0,353,16.1,2068,94.0,1846,83.9,222,10.1,131,6.0
05,04,09,38,3678,100.0,518,14.1,3492,94.9,3160,85.9,332,9.0,186,5.1
06,01,01,01,6934,100.0,1817,26.2,6003,86.6,5117,73.8,886,12.8,931,13.4
06,01,01,02,8818,100.0,3165,35.9,7109,80.6,5653,64.1,1456,16.5,1709,19.4
06,01,01,03,6375,100.0,2027,31.8,5345,83.8,4348,68.2,997,15.6,1030,16.2
06,01,02,04,6864,100.0,2347,34.2,5707,83.1,4517,65.8,1190,17.3,1157,16.9
06,01,02,05,9903,100.0,3238,32.7,8201,82.8,6665,67.3,1536,15.5,1702,17.2
06,01,02,06,7795,100.0,2288,29.4,6615,84.9,5507,70.6,1108,14.2,1180,15.1
06,01,02,07,7908,100.0,2651,33.5,6537,82.7,5257,66.5,1280,16.2,1371,17.3
06,01,02,08,6735,100.0,2041,30.3,5678,84.3,4694,69.7,984,14.6,1057,15.7
06,01,02,09,9200,100.0,3137,34.1,7535,81.9,6063,65.9,1472,16.0,1665,18.1
06,01,02,10,4896,100.0,1366,27.9,4170,85.2,3530,72.1,640,13.1,726,14.8
06,02,03,01,5013,100.0,1166,23.3,4471,89.2,3847,76.7,624,12.4,542,10.8
